"household_ID","region","province","commune","fuel_deprived","sanitation_deprived","water_deprived","electricity_deprived","housing_deprived","mpi_living_standards","Living_Standards"
"1000_10_2",9,12,"Orodara",1,1,1,1,0,0.8,0.2
"1000_103_2",9,12,"Orodara",1,1,NA,1,0,NA,NA
"1000_104_2",9,12,"Orodara",1,1,NA,1,0,NA,NA
"1000_113_2",9,12,"Orodara",1,1,0,1,0,0.6,0.4
"1000_126_2",9,12,"Orodara",1,0,0,1,0,0.4,0.6
"1000_14_2",9,12,"Orodara",1,1,1,1,0,0.8,0.2
"1000_158_2",9,12,"Orodara",1,1,1,1,0,0.8,0.2
"1000_164_2",9,12,"Orodara",1,1,0,1,0,0.6,0.4
"1000_18_2",9,12,"Orodara",1,1,0,1,1,0.8,0.2
"1000_31_2",9,12,"Orodara",1,1,NA,1,0,NA,NA
"1000_53_2",9,12,"Orodara",1,1,0,1,0,0.6,0.4
"1000_96_2",9,12,"Orodara",1,1,0,1,0,0.6,0.4
"1001_1_1",9,12,"Samorogouan",1,1,0,1,1,0.8,0.2
"1001_117_1",9,12,"Samorogouan",1,1,0,1,1,0.8,0.2
"1001_122_1",9,12,"Samorogouan",1,1,0,1,1,0.8,0.2
"1001_158_1",9,12,"Samorogouan",1,1,0,1,1,0.8,0.2
"1001_161_1",9,12,"Samorogouan",1,0,1,1,1,0.8,0.2
"1001_169_1",9,12,"Samorogouan",1,0,1,1,0,0.6,0.4
"1001_174_1",9,12,"Samorogouan",1,1,1,1,1,1,0
"1001_180_1",9,12,"Samorogouan",1,0,0,1,0,0.4,0.6
"1001_44_1",9,12,"Samorogouan",1,1,0,1,1,0.8,0.2
"1001_64_1",9,12,"Samorogouan",1,1,0,1,1,0.8,0.2
"1001_74_1",9,12,"Samorogouan",1,1,1,1,1,1,0
"1001_85_1",9,12,"Samorogouan",1,1,1,1,1,1,0
"1002_1_1",9,12,"Sindo",1,0,0,1,0,0.4,0.6
"1002_17_1",9,12,"Sindo",1,0,0,1,0,0.4,0.6
"1002_25_1",9,12,"Sindo",1,1,0,1,0,0.6,0.4
"1002_35_1",9,12,"Sindo",1,1,0,1,1,0.8,0.2
"1002_42_1",9,12,"Sindo",1,1,0,1,1,0.8,0.2
"1002_46_1",9,12,"Sindo",1,1,1,1,1,1,0
"1002_51_1",9,12,"Sindo",1,1,0,1,0,0.6,0.4
"1002_52_1",9,12,"Sindo",1,1,0,1,1,0.8,0.2
"1002_57_1",9,12,"Sindo",1,1,0,1,0,0.6,0.4
"1002_68_1",9,12,"Sindo",1,1,0,1,0,0.6,0.4
"1002_79_1",9,12,"Sindo",1,0,1,1,1,0.8,0.2
"1002_80_1",9,12,"Sindo",1,1,1,1,0,0.8,0.2
"1003_11_2",9,42,"Bereba",1,0,1,1,1,0.8,0.2
"1003_12_2",9,42,"Bereba",1,NA,1,1,1,NA,NA
"1003_20_2",9,42,"Bereba",1,0,1,1,1,0.8,0.2
"1003_23_2",9,42,"Bereba",1,1,1,1,1,1,0
"1003_3_2",9,42,"Bereba",1,NA,1,1,1,NA,NA
"1003_35_2",9,42,"Bereba",1,1,1,1,1,1,0
"1003_37_2",9,42,"Bereba",1,NA,1,1,1,NA,NA
"1003_40_2",9,42,"Bereba",1,NA,1,1,0,NA,NA
"1003_57_2",9,42,"Bereba",1,NA,1,1,1,NA,NA
"1003_60_2",9,42,"Bereba",1,NA,1,1,0,NA,NA
"1003_62_2",9,42,"Bereba",1,0,1,1,0,0.6,0.4
"1003_9_2",9,42,"Bereba",1,1,1,1,0,0.8,0.2
"1004_107_2",9,42,"Founzan",1,NA,0,1,0,NA,NA
"1004_19_2",9,42,"Founzan",1,NA,1,1,1,NA,NA
"1004_36_2",9,42,"Founzan",1,1,1,1,0,0.8,0.2
"1004_41_2",9,42,"Founzan",1,NA,0,1,0,NA,NA
"1004_42_2",9,42,"Founzan",1,1,0,1,0,0.6,0.4
"1004_43_2",9,42,"Founzan",1,NA,1,1,0,NA,NA
"1004_51_2",9,42,"Founzan",1,0,1,1,0,0.6,0.4
"1004_59_2",9,42,"Founzan",1,0,1,1,1,0.8,0.2
"1004_60_2",9,42,"Founzan",1,1,0,1,0,0.6,0.4
"1004_73_2",9,42,"Founzan",1,NA,0,1,1,NA,NA
"1004_87_2",9,42,"Founzan",1,NA,1,1,1,NA,NA
"1004_97_2",9,42,"Founzan",1,1,1,1,0,0.8,0.2
"1005_1_2",9,42,"Hounde",1,1,1,1,0,0.8,0.2
"1005_10_2",9,42,"Hounde",1,1,1,1,0,0.8,0.2
"1005_118_2",9,42,"Hounde",1,1,1,1,0,0.8,0.2
"1005_126_2",9,42,"Hounde",1,NA,1,1,0,NA,NA
"1005_14_2",9,42,"Hounde",1,1,1,1,0,0.8,0.2
"1005_2_2",9,42,"Hounde",1,1,0,1,0,0.6,0.4
"1005_45_2",9,42,"Hounde",1,NA,1,1,0,NA,NA
"1005_64_2",9,42,"Hounde",1,0,1,1,0,0.6,0.4
"1005_84_2",9,42,"Hounde",1,1,1,1,1,1,0
"1005_86_2",9,42,"Hounde",1,NA,1,1,0,NA,NA
"1005_90_2",9,42,"Hounde",1,NA,1,1,1,NA,NA
"1005_92_2",9,42,"Hounde",1,1,1,1,0,0.8,0.2
"1006_144_1",9,42,"Hounde",1,NA,1,1,0,NA,NA
"1006_145_1",9,42,"Hounde",1,NA,1,1,1,NA,NA
"1006_18_1",9,42,"Hounde",1,NA,1,1,0,NA,NA
"1006_2_1",9,42,"Hounde",1,1,1,1,0,0.8,0.2
"1006_21_1",9,42,"Hounde",1,1,1,1,0,0.8,0.2
"1006_41_1",9,42,"Hounde",1,NA,1,1,1,NA,NA
"1006_48_1",9,42,"Hounde",1,NA,1,1,0,NA,NA
"1006_50_1",9,42,"Hounde",1,NA,1,1,0,NA,NA
"1006_65_1",9,42,"Hounde",1,NA,1,1,1,NA,NA
"1006_72_1",9,42,"Hounde",1,NA,1,1,1,NA,NA
"1006_86_1",9,42,"Hounde",1,0,1,0,1,0.6,0.4
"1006_99_1",9,42,"Hounde",1,NA,1,0,1,NA,NA
"1007_100_2",9,42,"Hounde",1,1,0,1,0,0.6,0.4
